event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,RX1_gap_before_ms,RX2_gap_before_ms,status
182,11.290015540,11.297304070,11.297302890,7288.530,7287.350,1.180,,,ok
183,11.310124160,11.317413180,11.317413820,7289.020,7289.660,0.640,,,ok
184,11.329721590,11.337010740,11.337010980,7289.150,7289.390,0.240,,,ok
185,11.350204470,11.357488490,11.357490390,7284.020,7285.920,1.900,,,ok
186,11.370134210,11.377422240,11.377422510,7288.030,7288.300,0.270,,,ok
187,11.390067920,11.397356630,11.397356310,7288.710,7288.390,0.320,,,ok
188,11.410063960,11.417349860,11.417349870,7285.900,7285.910,0.010,,,ok
189,11.430044470,11.437333110,11.437333050,7288.640,7288.580,0.060,,,ok
190,11.450116410,11.457405650,11.457401370,7289.240,7284.960,4.280,,,ok
191,11.470047260,11.477334820,11.477333310,7287.560,7286.050,1.510,,,ok
192,11.490177010,11.497463380,11.497464280,7286.370,7287.270,0.900,,,ok
193,11.509373210,11.516660470,11.516662480,7287.260,7289.270,2.010,,,ok
194,11.530261040,11.537549990,11.537548370,7288.950,7287.330,1.620,,,ok
195,11.550063540,11.557342050,11.557353170,7278.510,7289.630,11.120,,,ok
196,11.570290290,11.577576760,11.577577750,7286.470,7287.460,0.990,,,ok
197,11.590046010,11.597334090,11.597336180,7288.080,7290.170,2.090,,,ok
198,11.610210630,11.617498460,11.617499760,7287.830,7289.130,1.300,,,ok
199,11.630082960,11.637438050,11.637371560,7355.090,7288.600,66.490,,,ok
200,11.650078710,11.657364170,11.657366370,7285.460,7287.660,2.200,,,ok
201,11.670162330,11.677448520,11.677449670,7286.190,7287.340,1.150,,,ok
202,11.689974950,11.697261800,11.697260750,7286.850,7285.800,1.050,,,ok
203,11.710068680,11.717355210,11.717422700,7286.530,7354.020,67.490,,,ok
204,11.730062970,11.737352540,11.737349820,7289.570,7286.850,2.720,,,ok
205,11.750154320,11.757441750,11.757442270,7287.430,7287.950,0.520,,,ok
206,11.770085880,11.777374330,11.777369180,7288.450,7283.300,5.150,,,ok
207,11.790140380,11.797427290,11.797429050,7286.910,7288.670,1.760,,,ok
208,11.810141660,11.817430580,11.817425910,7288.920,7284.250,4.670,,,ok
209,11.829280740,11.836570290,11.836566760,7289.550,7286.020,3.530,,,ok
210,11.849936180,11.857222770,11.857224090,7286.590,7287.910,1.320,,,ok
211,11.870154550,11.877444520,11.877443600,7289.970,7289.050,0.920,,,ok
212,11.890085880,11.897375520,11.897372140,7289.640,7286.260,3.380,,,ok
213,11.910055420,11.917343660,11.917344360,7288.240,7288.940,0.700,,,ok
214,11.929962350,11.937249460,11.937248700,7287.110,7286.350,0.760,,,ok
215,11.950164660,11.957454580,11.957451990,7289.920,7287.330,2.590,,,ok
216,11.970126680,11.977413640,11.977415630,7286.960,7288.950,1.990,,,ok
217,11.990122070,11.997411990,11.997408970,7289.920,7286.900,3.020,,,ok
218,12.010075190,12.017365470,12.017361280,7290.280,7286.090,4.190,,,ok
219,12.030075170,12.037362580,12.037359880,7287.410,7284.710,2.700,,,ok
220,12.050100670,12.057384700,12.057388870,7284.030,7288.200,4.170,,,ok
221,12.070167680,12.077455470,12.077456610,7287.790,7288.930,1.140,,,ok
222,12.090091700,12.097378800,12.097380100,7287.100,7288.400,1.300,,,ok
223,12.110243160,12.117532180,12.117528330,7289.020,7285.170,3.850,,,ok
224,12.130084110,12.137370340,12.137371760,7286.230,7287.650,1.420,,,ok
225,12.150080570,12.157367930,12.157368480,7287.360,7287.910,0.550,,,ok
226,12.170043790,12.177395110,12.177329390,7351.320,7285.600,65.720,,,ok
227,12.189592600,12.196883030,12.196882920,7290.430,7290.320,0.110,,,ok
228,12.210384870,12.217673900,12.217671250,7289.030,7286.380,2.650,,,ok
229,12.230056140,12.237341380,12.237342120,7285.240,7285.980,0.740,,,ok
230,12.250117240,12.257405570,12.257406710,7288.330,7289.470,1.140,,,ok
231,12.270209230,12.277498130,12.277495560,7288.900,7286.330,2.570,,,ok
232,12.290057400,12.297347090,12.297344780,7289.690,7287.380,2.310,,,ok
233,12.310130520,12.317419980,12.317417230,7289.460,7286.710,2.750,,,ok
234,12.330065780,12.337354070,12.337351680,7288.290,7285.900,2.390,,,ok
235,12.350183760,12.357471250,12.357469860,7287.490,7286.100,1.390,,,ok
236,12.370063900,12.377349900,12.377352040,7286.000,7288.140,2.140,,,ok
237,12.389979500,12.397269250,12.397265680,7289.750,7286.180,3.570,,,ok
238,12.410070440,12.417359900,12.417357780,7289.460,7287.340,2.120,,,ok
239,12.430447810,12.437735870,12.437738420,7288.060,7290.610,2.550,,,ok
240,12.450056640,12.457343460,12.457345910,7286.820,7289.270,2.450,,,ok
241,12.470108570,12.477396770,12.477395260,7288.200,7286.690,1.510,,,ok
242,12.490083880,12.497371020,12.497372710,7287.140,7288.830,1.690,,,ok
243,12.510135590,12.517424140,12.517421240,7288.550,7285.650,2.900,,,ok
244,12.530132440,12.537425160,12.537419420,7292.720,7286.980,5.740,,,ok
245,12.550066230,12.557356100,12.557353810,7289.870,7287.580,2.290,,,ok
246,12.570293370,12.577578450,12.577582200,7285.080,7288.830,3.750,,,ok
247,12.590128860,12.597416810,12.597415500,7287.950,7286.640,1.310,,,ok
248,12.610205840,12.617495950,12.617493980,7290.110,7288.140,1.970,,,ok
249,12.629627420,12.636913550,12.636983570,7286.130,7356.150,70.020,,,ok
250,12.650162650,12.657452720,12.657449940,7290.070,7287.290,2.780,,,ok
251,12.670132200,12.677421070,12.677418250,7288.870,7286.050,2.820,,,ok
252,12.689823240,12.697109550,12.697111630,7286.310,7288.390,2.080,,,ok
253,12.710209320,12.717489550,12.717493630,7280.230,7284.310,4.080,,,ok
254,12.730049760,12.737336150,12.737339450,7286.390,7289.690,3.300,,,ok
255,12.750141440,12.757429490,12.757425400,7288.050,7283.960,4.090,,,ok
256,12.770034270,12.777322860,12.777320230,7288.590,7285.960,2.630,,,ok
257,12.790071330,12.797361360,12.797392280,7290.030,7320.950,30.920,,,ok
258,12.810108100,12.817394710,12.817397880,7286.610,7289.780,3.170,,,ok
259,12.830063450,12.837352790,12.837351290,7289.340,7287.840,1.500,,,ok
260,12.850091170,12.857381400,12.857379640,7290.230,7288.470,1.760,,,ok
261,12.869604370,12.876892070,12.876892280,7287.700,7287.910,0.210,,,ok
262,12.890275920,12.897562170,12.897566410,7286.250,7290.490,4.240,,,ok
263,12.910146700,12.917436270,12.917432260,7289.570,7285.560,4.010,,,ok
264,12.929214320,12.936499670,12.936495340,7285.350,7281.020,4.330,,,ok
265,12.950430200,12.957717850,12.957782700,7287.650,7352.500,64.850,,,ok
266,12.970107460,12.977394060,12.977394930,7286.600,7287.470,0.870,,,ok
267,12.990128810,12.997414850,12.997417520,7286.040,7288.710,2.670,,,ok
268,13.010062080,13.017347160,13.017351700,7285.080,7289.620,4.540,,,ok
269,13.029362390,13.036651430,13.036648880,7289.040,7286.490,2.550,,,ok
270,13.050284260,13.057568930,13.057573620,7284.670,7289.360,4.690,,,ok
271,13.070084210,13.077373200,13.077372050,7288.990,7287.840,1.150,,,ok
272,13.090055080,13.097341530,13.097345380,7286.450,7290.300,3.850,,,ok
273,13.110083500,13.117368990,13.117373620,7285.490,7290.120,4.630,,,ok
274,13.130423990,13.137712400,13.137711410,7288.410,7287.420,0.990,,,ok
275,13.150138680,13.157425260,13.157425360,7286.580,7286.680,0.100,,,ok
276,13.170070170,13.177376010,13.177356370,7305.840,7286.200,19.640,,,ok
277,13.190051480,13.197338260,13.197341340,7286.780,7289.860,3.080,,,ok
278,13.210128810,13.217415710,13.217415540,7286.900,7286.730,0.170,,,ok
279,13.230124080,13.237415070,13.237414080,7290.990,7290.000,0.990,,,ok
280,13.250034180,13.257321000,13.257321190,7286.820,7287.010,0.190,,,ok
281,13.270051940,13.277341630,13.277339920,7289.690,7287.980,1.710,,,ok
282,13.289865940,13.297154980,13.297154350,7289.040,7288.410,0.630,,,ok
283,13.310264790,13.317553290,13.317551780,7288.500,7286.990,1.510,,,ok
284,13.329206070,13.336491860,13.336496020,7285.790,7289.950,4.160,,,ok
285,13.350327430,13.357615180,13.357614390,7287.750,7286.960,0.790,,,ok
286,13.370049510,13.377337560,13.377337710,7288.050,7288.200,0.150,,,ok
287,13.390216250,13.397504490,13.397506040,7288.240,7289.790,1.550,,,ok
288,13.410119270,13.417404080,13.417474430,7284.810,7355.160,70.350,,,ok
289,13.430083080,13.437372680,13.437372940,7289.600,7289.860,0.260,,,ok
290,13.450245320,13.457531780,13.457536430,7286.460,7291.110,4.650,,,ok
291,13.470247090,13.477534410,13.477534800,7287.320,7287.710,0.390,,,ok
292,13.489849190,13.497138640,13.497138250,7289.450,7289.060,0.390,,,ok
293,13.510226500,13.517515590,13.517513850,7289.090,7287.350,1.740,,,ok
294,13.530117220,13.537405240,13.537404960,7288.020,7287.740,0.280,,,ok
295,13.550157090,13.557443550,13.557443390,7286.460,7286.300,0.160,,,ok
296,13.570080400,13.577365630,13.577366640,7285.230,7286.240,1.010,,,ok
297,13.590106310,13.597395340,13.597395130,7289.030,7288.820,0.210,,,ok
298,13.610101500,13.617387880,13.617388620,7286.380,7287.120,0.740,,,ok
299,13.630114300,13.637401060,13.637401050,7286.760,7286.750,0.010,,,ok
300,13.650200800,13.657489500,13.657489380,7288.700,7288.580,0.120,,,ok
301,13.669993920,13.677282810,13.677283490,7288.890,7289.570,0.680,,,ok
302,13.689963000,13.697252100,13.697251150,7289.100,7288.150,0.950,,,ok
303,13.709339640,13.716624500,13.716630330,7284.860,7290.690,5.830,,,ok
304,13.729237030,13.736523870,13.736522950,7286.840,7285.920,0.920,,,ok
305,13.750385510,13.757672140,13.757672110,7286.630,7286.600,0.030,,,ok
306,13.769991880,13.777279430,13.777279700,7287.550,7287.820,0.270,,,ok
307,13.790082270,13.797368100,13.797368970,7285.830,7286.700,0.870,,,ok
308,13.810021100,13.817304620,13.817306670,7283.520,7285.570,2.050,,,ok
309,13.830049390,13.837335450,13.837334760,7286.060,7285.370,0.690,,,ok
310,13.850183110,13.857467990,13.857468960,7284.880,7285.850,0.970,,,ok
311,13.869140460,13.876424680,13.876426150,7284.220,7285.690,1.470,,,ok
312,13.889842290,13.897130710,13.897130850,7288.420,7288.560,0.140,,,ok
313,13.910094290,13.917383150,13.917384190,7288.860,7289.900,1.040,,,ok
314,13.930067640,13.937357250,13.937356350,7289.610,7288.710,0.900,,,ok
315,13.950111590,13.957398150,13.957443820,7286.560,7332.230,45.670,,,ok
