event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,status
190,102.853869570,102.862271940,102.862269880,8402.370,8400.310,2.060,ok
191,103.396002860,103.404413090,103.404418940,8410.230,8416.080,5.850,ok
192,103.938072570,103.946473800,103.946476900,8401.230,8404.330,3.100,ok
193,104.480103040,,,,,,missing_rx1_rx2
194,105.022255730,105.030670520,105.030706880,8414.790,8451.150,36.360,ok
195,105.564341870,105.572746780,105.572747300,8404.910,8405.430,0.520,ok
196,106.106394470,106.114797800,106.114795820,8403.330,8401.350,1.980,ok
197,106.648502710,106.656918530,106.656977690,8415.820,8474.980,59.160,ok
198,107.190547330,107.198949430,107.198953170,8402.100,8405.840,3.740,ok
199,107.732561160,107.740965620,107.740966690,8404.460,8405.530,1.070,ok
200,108.274653570,108.283066740,108.283123210,8413.170,8469.640,56.470,ok
201,108.816730200,108.825132560,108.825133850,8402.360,8403.650,1.290,ok
202,109.358779470,109.367183510,109.367182410,8404.040,8402.940,1.100,ok
203,109.900931750,,,,,,missing_rx1_rx2
204,110.442990510,110.451394970,110.451393620,8404.460,8403.110,1.350,ok
205,110.985086180,110.993491360,110.993492510,8405.180,8406.330,1.150,ok
206,111.527225190,111.535627420,111.535685290,8402.230,8460.100,57.870,ok
207,112.069315450,112.077733210,112.077734780,8417.760,8419.330,1.570,ok
208,112.611439430,112.619859190,112.619858020,8419.760,8418.590,1.170,ok
209,113.153604020,113.162014150,113.162016610,8410.130,8412.590,2.460,ok
210,113.695696840,,113.704100080,,8403.240,,missing_rx1
211,114.237698150,114.246102070,114.246104040,8403.920,8405.890,1.970,ok
212,114.779825280,114.788228260,114.788227560,8402.980,8402.280,0.700,ok
213,115.321869640,115.330269250,115.330270760,8399.610,8401.120,1.510,ok
214,115.863941720,115.872345370,115.872344110,8403.650,8402.390,1.260,ok
215,116.405993060,116.414405610,116.414402920,8412.550,8409.860,2.690,ok
216,116.948033580,116.956436970,116.956436240,8403.390,8402.660,0.730,ok
217,117.490126390,117.498532860,117.498530300,8406.470,8403.910,2.560,ok
218,118.032244370,118.040658710,118.040658570,8414.340,8414.200,0.140,ok
219,118.574331720,118.582734500,118.582736960,8402.780,8405.240,2.460,ok
220,119.116384260,119.124785850,119.124790570,8401.590,8406.310,4.720,ok
221,119.658478380,119.666891700,119.666889070,8413.320,8410.690,2.630,ok
222,120.200533420,120.208937710,120.208937580,8404.290,8404.160,0.130,ok
223,120.742579980,120.750983740,120.750980930,8403.760,8400.950,2.810,ok
224,121.284710680,121.293114750,121.293114840,8404.070,8404.160,0.090,ok
225,121.826729240,121.835130790,121.835132890,8401.550,8403.650,2.100,ok
226,122.368759730,122.377162000,122.377161480,8402.270,8401.750,0.520,ok
227,122.910831330,122.919237440,122.919235180,8406.110,8403.850,2.260,ok
228,123.452873380,123.461278420,123.461278440,8405.040,8405.060,0.020,ok
229,123.994934080,124.003339570,124.003337250,8405.490,8403.170,2.320,ok
230,124.537027980,124.545410480,124.545386880,8382.500,8358.900,23.600,ok
231,125.079055800,125.087456460,125.087459470,8400.660,8403.670,3.010,ok
232,125.621111370,125.629517440,125.629517700,8406.070,8406.330,0.260,ok
233,126.163264130,126.171643300,126.171646130,8379.170,8382.000,2.830,ok
234,126.705345590,,,,,,missing_rx1_rx2
235,127.247435760,127.255839450,127.255837360,8403.690,8401.600,2.090,ok
236,127.789535890,127.797955770,127.797956610,8419.880,8420.720,0.840,ok
237,128.331563220,128.339966900,128.339965010,8403.680,8401.790,1.890,ok
238,128.873496910,128.881902700,128.881898490,8405.790,8401.580,4.210,ok
239,129.415505600,129.423908900,129.423906570,8403.300,8400.970,2.330,ok
240,129.957515470,129.965914830,129.965915530,8399.360,8400.060,0.700,ok
241,130.499463620,130.507865560,130.507869400,8401.940,8405.780,3.840,ok
242,131.041518700,131.049886630,131.049922400,8367.930,8403.700,35.770,ok
243,131.583540780,131.591941480,131.591945980,8400.700,8405.200,4.500,ok
244,132.125553320,132.133963530,132.133964580,8410.210,8411.260,1.050,ok
245,132.667648840,132.676059560,132.676063030,8410.720,8414.190,3.470,ok
246,133.209685940,133.218090170,133.218091320,8404.230,8405.380,1.150,ok
247,133.751744620,133.760146550,133.760150040,8401.930,8405.420,3.490,ok
248,134.293859010,134.302262410,134.302263640,8403.400,8404.630,1.230,ok
249,134.835893340,134.844298290,134.844296890,8404.950,8403.550,1.400,ok
250,135.377913580,135.386317920,135.386315400,8404.340,8401.820,2.520,ok
251,135.920040500,135.928478960,135.928444000,8438.460,8403.500,34.960,ok
252,136.462124570,136.470526320,136.470527620,8401.750,8403.050,1.300,ok
253,137.004148620,137.012551800,137.012551070,8403.180,8402.450,0.730,ok
254,137.546217840,137.554627980,137.554629230,8410.140,8411.390,1.250,ok
255,138.088266410,138.096668820,138.096667990,8402.410,8401.580,0.830,ok
256,138.630350930,138.638754640,138.638756320,8403.710,8405.390,1.680,ok
257,139.172468880,139.180870540,139.180874980,8401.660,8406.100,4.440,ok
258,139.714548320,139.722951590,139.722948290,8403.270,8399.970,3.300,ok
259,140.256588990,140.264992280,140.264992090,8403.290,8403.100,0.190,ok
260,140.798718460,140.807128570,140.807130000,8410.110,8411.540,1.430,ok
261,141.340766610,141.349164460,141.349168930,8397.850,8402.320,4.470,ok
262,141.882816340,141.891220610,141.891222370,8404.270,8406.030,1.760,ok
263,142.424947880,142.433351610,142.433350780,8403.730,8402.900,0.830,ok
264,142.967011690,142.975417250,142.975414540,8405.560,8402.850,2.710,ok
265,143.509061850,143.517463450,143.517467940,8401.600,8406.090,4.490,ok
266,144.051167720,144.059579140,144.059581470,8411.420,8413.750,2.330,ok
267,144.593202950,144.601604980,144.601604520,8402.030,8401.570,0.460,ok
268,145.135287190,145.143691200,145.143688380,8404.010,8401.190,2.820,ok
269,145.677422600,145.685827170,145.685827000,8404.570,8404.400,0.170,ok
270,146.219482320,146.227887680,146.227885320,8405.360,8403.000,2.360,ok
271,146.761573540,146.769931470,146.769978590,8357.930,8405.050,47.120,ok
272,147.303698780,147.312109860,147.312112050,8411.080,8413.270,2.190,ok
273,147.845759310,147.854160890,147.854160670,8401.580,8401.360,0.220,ok
274,148.387823160,148.396226530,148.396229250,8403.370,8406.090,2.720,ok
275,148.929955670,148.938357550,148.938357270,8401.880,8401.600,0.280,ok
276,149.472023380,149.480428340,149.480426270,8404.960,8402.890,2.070,ok
277,150.014104950,150.022504480,150.022504430,8399.530,8399.480,0.050,ok
278,150.556198270,150.564600130,150.564602710,8401.860,8404.440,2.580,ok
279,151.098263000,151.106666290,151.106666770,8403.290,8403.770,0.480,ok
280,151.640312650,151.648715420,151.648715030,8402.770,8402.380,0.390,ok
281,152.182421420,152.190832760,152.190833540,8411.340,8412.120,0.780,ok
282,152.724534990,152.732997400,152.732936670,8462.410,8401.680,60.730,ok
283,153.266632860,153.275034950,153.275035450,8402.090,8402.590,0.500,ok
284,153.808833840,153.817235830,153.817287500,8401.990,8453.660,51.670,ok
285,154.350957500,154.359361980,154.359362260,8404.480,8404.760,0.280,ok
286,154.893069240,154.901472660,154.901470930,8403.420,8401.690,1.730,ok
287,155.435244440,155.443658480,155.443637720,8414.040,8393.280,20.760,ok
288,155.977390520,155.985794210,155.985797560,8403.690,8407.040,3.350,ok
289,156.519435010,156.527835380,156.527836020,8400.370,8401.010,0.640,ok
290,157.061577750,157.069981150,157.069979700,8403.400,8401.950,1.450,ok
291,157.603721750,157.612127250,157.612128290,8405.500,8406.540,1.040,ok
292,158.145836150,158.154238190,158.154236680,8402.040,8400.530,1.510,ok
293,158.688003430,158.696408660,158.696405050,8405.230,8401.620,3.610,ok
294,159.230132510,159.238539650,159.238538090,8407.140,8405.580,1.560,ok
295,159.772204240,159.780549750,159.780606720,8345.510,8402.480,56.970,ok
296,160.314314980,160.322716750,160.322720190,8401.770,8405.210,3.440,ok
297,160.856406070,160.864807470,160.864808720,8401.400,8402.650,1.250,ok
298,161.398495300,161.406898200,161.406897110,8402.900,8401.810,1.090,ok
299,161.940653660,161.949064320,161.949065950,8410.660,8412.290,1.630,ok
300,162.482809790,162.491220100,162.491219170,8410.310,8409.380,0.930,ok
301,163.024877550,163.033281120,163.033282390,8403.570,8404.840,1.270,ok
302,163.567067090,163.575472090,163.575471130,8405.000,8404.040,0.960,ok
303,164.109144780,164.117545060,164.117549180,8400.280,8404.400,4.120,ok
304,164.651257430,164.659663260,164.659663010,8405.830,8405.580,0.250,ok
305,165.193407030,165.201819150,165.201821180,8412.120,8414.150,2.030,ok
306,165.735481040,165.743885520,165.743884720,8404.480,8403.680,0.800,ok
307,166.277500580,166.285906490,166.285903390,8405.910,8402.810,3.100,ok
308,166.819607680,166.828027330,166.828026980,8419.650,8419.300,0.350,ok
309,167.361692740,167.370108020,167.370104840,8415.280,8412.100,3.180,ok
310,167.903730900,167.912128710,167.912128700,8397.810,8397.800,0.010,ok
311,168.445889900,168.454289940,168.454292160,8400.040,8402.260,2.220,ok
312,168.987990440,168.996395900,168.996395700,8405.460,8405.260,0.200,ok
313,169.530014450,169.538416790,169.538418850,8402.340,8404.400,2.060,ok
314,170.072193630,170.080602620,170.080602330,8408.990,8408.700,0.290,ok
315,170.614199460,170.622603530,170.622605610,8404.070,8406.150,2.080,ok
316,171.156185620,171.164589220,171.164589360,8403.600,8403.740,0.140,ok
317,171.698300950,171.706704540,171.706702300,8403.590,8401.350,2.240,ok
318,172.240396960,172.248805850,172.248806240,8408.890,8409.280,0.390,ok
319,172.782441720,172.790851980,172.790854450,8410.260,8412.730,2.470,ok
320,173.324556150,173.332958050,173.332958070,8401.900,8401.920,0.020,ok
321,173.866644720,173.875053650,173.875056280,8408.930,8411.560,2.630,ok
322,174.408662150,174.417064420,174.417064890,8402.270,8402.740,0.470,ok
323,174.950776600,174.959180460,174.959178260,8403.860,8401.660,2.200,ok
324,175.492802980,175.501206430,175.501206910,8403.450,8403.930,0.480,ok
325,176.034827280,176.043232170,176.043230220,8404.890,8402.940,1.950,ok
326,176.576901850,176.585369600,176.585303470,8467.750,8401.620,66.130,ok
327,177.118968230,177.127384050,177.127382110,8415.820,8413.880,1.940,ok
328,177.660980510,177.669384830,177.669385400,8404.320,8404.890,0.570,ok
329,178.203065210,178.211469460,178.211468650,8404.250,8403.440,0.810,ok
330,178.745114440,178.753516560,178.753517460,8402.120,8403.020,0.900,ok
331,179.287115380,179.295517220,179.295515680,8401.840,8400.300,1.540,ok
332,179.829222030,179.837623280,179.837624330,8401.250,8402.300,1.050,ok
333,180.371234680,180.379638860,180.379637720,8404.180,8403.040,1.140,ok
334,180.913298690,180.921698990,180.921701170,8400.300,8402.480,2.180,ok
335,181.455366960,181.463832560,181.463764370,8465.600,8397.410,68.190,ok
336,181.997431150,182.005836250,182.005832910,8405.100,8401.760,3.340,ok
337,182.539468860,182.547872760,182.547871190,8403.900,8402.330,1.570,ok
338,183.081613860,183.090018480,183.090019850,8404.620,8405.990,1.370,ok
339,183.623673260,183.632079090,183.632078390,8405.830,8405.130,0.700,ok
340,184.165691390,184.174094760,184.174096510,8403.370,8405.120,1.750,ok
341,184.707810910,184.716221060,184.716220090,8410.150,8409.180,0.970,ok
342,185.249933450,185.258337330,185.258338480,8403.880,8405.030,1.150,ok
343,185.791940300,185.800342970,185.800341820,8402.670,8401.520,1.150,ok
344,186.334028710,186.342433650,186.342430250,8404.940,8401.540,3.400,ok
345,186.876094430,186.884499230,186.884498850,8404.800,8404.420,0.380,ok
346,187.418174010,187.426580400,187.426577140,8406.390,8403.130,3.260,ok
347,187.960305840,187.968711140,187.968710650,8405.300,8404.810,0.490,ok
