Time [s],Tx,Rx1,Rx2
63.940651530,0,0,1
63.940654070,0,1,1
63.940670950,0,1,0
63.940673450,0,0,0
64.474252580,1,0,0
64.482383660,0,0,0
64.482665310,0,0,1
64.482665350,0,1,1
64.482684650,0,1,0
64.482684730,0,0,0
65.016192070,1,0,0
65.024312630,0,0,0
65.024593840,0,0,1
65.024596620,0,1,1
65.024613260,0,1,0
65.024615990,0,0,0
65.558294960,1,0,0
65.566424390,0,0,0
65.566707550,0,1,0
65.566707580,0,1,1
65.566726880,0,0,1
65.566726950,0,0,0
66.100294390,1,0,0
66.108415550,0,0,0
66.108696320,0,0,1
66.108698870,0,1,1
66.108715650,0,1,0
66.108718160,0,0,0
66.642234190,1,0,0
66.650370850,0,0,0
66.650650010,0,1,0
66.650654550,0,1,1
66.650669380,0,0,1
66.650673860,0,0,0
67.184311440,1,0,0
67.192442540,0,0,0
67.192722980,0,0,1
67.192726000,0,1,1
67.192742310,0,1,0
67.192745390,0,0,0
67.726330540,1,0,0
67.734450510,0,0,0
67.734731940,0,1,0
67.734732080,0,1,1
67.734751310,0,0,1
67.734751540,0,0,0
68.268319670,1,0,0
68.276440810,0,0,0
68.276720830,0,0,1
68.276722970,0,1,1
68.276740210,0,1,0
68.276742380,0,0,0
68.810264320,1,0,0
68.818385210,0,0,0
68.818668290,0,0,1
68.818669100,0,1,1
68.818687620,0,1,0
68.818688510,0,0,0
69.352236530,1,0,0
69.360358400,0,0,0
69.360638120,0,0,1
69.360640420,0,1,1
69.360657540,0,1,0
69.360659880,0,0,0
69.894146200,1,0,0
69.902268800,0,0,0
69.902551300,0,1,0
69.902551580,0,1,1
69.902570680,0,0,1
69.902571000,0,0,0
70.436180180,1,0,0
70.444298210,0,0,0
70.444580100,0,0,1
70.444582480,0,1,1
70.444599470,0,1,0
70.444601810,0,0,0
70.978160610,1,0,0
70.986281860,0,0,0
70.986563610,0,1,0
70.986583020,0,0,0
71.520093550,1,0,0
71.528215150,0,0,0
71.528476900,0,1,0
71.528496280,0,0,0
71.528497000,0,0,1
71.528516410,0,0,0
72.062092440,1,0,0
72.070222190,0,0,0
72.070506060,0,1,0
72.070506240,0,1,1
72.070525410,0,0,1
72.070525620,0,0,0
72.604073690,1,0,0
72.612212210,0,0,0
72.612491910,0,1,0
72.612494680,0,1,1
72.612511250,0,0,1
72.612514030,0,0,0
73.145991640,1,0,0
73.154114490,0,0,0
73.154392470,0,1,0
73.154393300,0,1,1
73.154411880,0,0,1
73.154412670,0,0,0
73.688002300,1,0,0
73.696069070,0,0,0
73.696349140,0,1,0
73.696352000,0,1,1
73.696368470,0,0,1
73.696371330,0,0,0
74.229828150,1,0,0
74.237949860,0,0,0
74.238179430,0,0,1
74.238198810,0,0,0
74.238230160,0,1,0
74.238249550,0,0,0
74.771782690,1,0,0
74.779905240,0,0,0
74.780184320,0,0,1
74.780186540,0,1,1
74.780203690,0,1,0
74.780205910,0,0,0
75.313778990,1,0,0
75.321900050,0,0,0
75.322182580,0,1,0
75.322182680,0,1,1
75.322202000,0,0,1
75.322202100,0,0,0
75.855751420,1,0,0
75.863871500,0,0,0
75.864151970,0,0,1
75.864153730,0,1,1
75.864171260,0,1,0
75.864173190,0,0,0
76.397729530,1,0,0
76.405852450,0,0,0
76.406135160,0,0,1
76.406154540,0,0,0
76.939830540,1,0,0
76.947960600,0,0,0
76.948240090,0,1,0
76.948243800,0,1,1
76.948259510,0,0,1
76.948263190,0,0,0
77.481886340,1,0,0
77.490003760,0,0,0
77.490286610,0,1,0
77.490287140,0,1,1
77.490306070,0,0,1
77.490306550,0,0,0
78.023848390,1,0,0
78.031977930,0,0,0
78.032261250,0,0,1
78.032262770,0,1,1
78.032280660,0,1,0
78.032282230,0,0,0
78.565905290,1,0,0
78.574036700,0,0,0
78.574318570,0,1,0
78.574319750,0,1,1
78.574337940,0,0,1
78.574339170,0,0,0
79.107901490,1,0,0
79.116021460,0,0,0
79.116303690,0,0,1
79.116305040,0,1,1
79.116323020,0,1,0
79.116324420,0,0,0
79.649901950,1,0,0
79.658023710,0,0,0
79.658306040,0,1,0
79.658306980,0,1,1
79.658325410,0,0,1
79.658326360,0,0,0
80.191959410,1,0,0
80.200079860,0,0,0
80.200360710,0,0,1
80.200362070,0,1,1
80.200380080,0,1,0
80.200381450,0,0,0
80.733981050,1,0,0
80.742102440,0,0,0
80.742383570,0,1,0
80.742384350,0,1,1
80.742403020,0,0,1
80.742403720,0,0,0
81.276027800,1,0,0
81.284149730,0,0,0
81.284429750,0,1,0
81.284432850,0,1,1
81.284449180,0,0,1
81.284452180,0,0,0
81.818066960,1,0,0
81.826197290,0,0,0
81.826480590,0,1,0
81.826481300,0,1,1
81.826500050,0,0,1
81.826500690,0,0,0
82.360114390,1,0,0
82.368235990,0,0,0
82.368516490,0,1,0
82.368519880,0,1,1
82.368535870,0,0,1
82.368539210,0,0,0
82.902109430,1,0,0
82.910231030,0,0,0
82.910512600,0,1,0
82.910513730,0,1,1
82.910532060,0,0,1
82.910533140,0,0,0
83.444204090,1,0,0
83.452325210,0,0,0
83.452603810,0,1,0
83.452607510,0,1,1
83.452623270,0,0,1
83.452626910,0,0,0
83.986198770,1,0,0
83.994320270,0,0,0
83.994600920,0,0,1
83.994605140,0,1,1
83.994620330,0,1,0
83.994624600,0,0,0
84.528212240,1,0,0
84.536334970,0,0,0
84.536614160,0,0,1
84.536616080,0,1,1
84.536633530,0,1,0
84.536635450,0,0,0
85.070336110,1,0,0
85.078467320,0,0,0
85.078747190,0,1,0
85.078748190,0,1,1
85.078766580,0,0,1
85.078767610,0,0,0
85.612385640,1,0,0
85.620507120,0,0,0
85.620779480,0,0,1
85.620787980,0,1,1
85.620798890,0,1,0
85.620807310,0,0,0
86.154398680,1,0,0
86.162519800,0,0,0
86.162800450,0,0,1
86.162804410,0,1,1
86.162819780,0,1,0
86.162823870,0,0,0
86.696487790,1,0,0
86.704617740,0,0,0
86.704898750,0,0,1
86.704918120,0,0,0
86.704918820,0,1,0
86.704938230,0,0,0
87.238502940,1,0,0
87.246622790,0,0,0
87.246898150,0,0,1
87.246906520,0,1,1
87.246917520,0,1,0
87.246925850,0,0,0
87.780492600,1,0,0
87.788613320,0,0,0
87.788896200,0,0,1
87.788897470,0,1,1
87.788915610,0,1,0
87.788916800,0,0,0
88.322590250,1,0,0
88.330718950,0,0,0
88.331003670,0,1,0
88.331004870,0,1,1
88.331023050,0,0,1
88.331024210,0,0,0
88.864599850,1,0,0
88.872721060,0,0,0
88.873001900,0,0,1
88.873004820,0,1,1
88.873021280,0,1,0
88.873024200,0,0,0
89.406584590,1,0,0
89.414707500,0,0,0
89.414985790,0,1,0
89.414987020,0,1,1
89.415005190,0,0,1
89.415006350,0,0,0
89.948653270,1,0,0
89.956772350,0,0,0
89.957055610,0,0,1
89.957056950,0,1,1
89.957074980,0,1,0
89.957076360,0,0,0
90.490678210,1,0,0
90.498797690,0,0,0
90.499064520,0,1,0
90.499079430,0,1,1
90.499083930,0,0,1
90.499098840,0,0,0
91.032711960,1,0,0
91.040833770,0,0,0
91.041112750,0,0,1
91.041113990,0,1,1
91.041132180,0,1,0
91.041133410,0,0,0
91.574748870,1,0,0
91.582880560,0,0,0
91.583160360,0,1,0
91.583161730,0,1,1
91.583179860,0,0,1
91.583181190,0,0,0
92.116702140,1,0,0
92.124824990,0,0,0
92.125105030,0,0,1
92.125106120,0,1,1
92.125124410,0,1,0
92.125125410,0,0,0
92.658683740,1,0,0
92.666803490,0,0,0
92.667083500,0,0,1
92.667087480,0,1,1
92.667102870,0,1,0
92.667106870,0,0,0
93.200799050,1,0,0
93.208930520,0,0,0
93.209212170,0,0,1
93.209212840,0,1,1
93.209231540,0,1,0
93.209232180,0,0,0
93.742830290,1,0,0
93.750953270,0,0,0
93.751234640,0,1,0
93.751236020,0,1,1
93.751254060,0,0,1
93.751255440,0,0,0
94.284780580,1,0,0
94.292903050,0,0,0
94.293184650,0,0,1
94.293204070,0,0,0
94.293224050,0,1,0
94.293243380,0,0,0
94.826833840,1,0,0
94.834930610,0,0,0
94.835213400,0,0,1
94.835216970,0,1,1
94.835232730,0,1,0
94.835236350,0,0,0
95.368809400,1,0,0
95.376931890,0,0,0
95.377211930,0,0,1
95.377212810,0,1,1
95.377231320,0,1,0
95.377232230,0,0,0
95.910884180,1,0,0
95.919005670,0,0,0
95.919284990,0,0,1
95.919288550,0,1,1
95.919304360,0,1,0
95.919308000,0,0,0
96.453029620,1,0,0
96.461094740,0,0,0
96.461374840,0,1,0
96.461378930,0,1,1
96.461394210,0,0,1
96.461398420,0,0,0
96.995013880,1,0,0
97.003135250,0,0,0
97.003412220,0,0,1
97.003415840,0,1,1
97.003431590,0,1,0
97.003435130,0,0,0
97.537057040,1,0,0
97.545180320,0,0,0
97.545461240,0,0,1
97.545462340,0,1,1
97.545480570,0,1,0
97.545481760,0,0,0
98.079176730,1,0,0
98.087304870,0,0,0
98.087587680,0,1,0
98.087589800,0,1,1
98.087607010,0,0,1
98.087609170,0,0,0
98.621137490,1,0,0
98.629259280,0,0,0
98.629539510,0,1,0
98.629543540,0,1,1
98.629558920,0,0,1
98.629562940,0,0,0
99.163130350,1,0,0
99.171252720,0,0,0
99.171531980,0,0,1
99.171535490,0,1,1
99.171551350,0,1,0
99.171554900,0,0,0
99.705197710,1,0,0
99.713327650,0,0,0
99.713610660,0,0,1
99.713611630,0,1,1
99.713630120,0,1,0
99.713630960,0,0,0
100.247241340,1,0,0
100.255358630,0,0,0
100.255642600,0,1,0
100.255644530,0,1,1
100.255661980,0,0,1
100.255663900,0,0,0
100.789248270,1,0,0
100.797368550,0,0,0
100.797648380,0,1,0
100.797652920,0,1,1
100.797667840,0,0,1
100.797672290,0,0,0
101.331328290,1,0,0
101.339457810,0,0,0
101.339739620,0,1,0
101.339741470,0,1,1
101.339758990,0,0,1
101.339760890,0,0,0
101.873297650,1,0,0
101.881418790,0,0,0
101.881699800,0,0,1
101.881700690,0,1,1
101.881719210,0,1,0
101.881720100,0,0,0
102.415334320,1,0,0
102.423465710,0,0,0
102.423747020,0,1,0
102.423748680,0,1,1
102.423766310,0,0,1
102.423768050,0,0,0
102.957463840,1,0,0
102.965544380,0,0,0
102.965827120,0,0,1
102.965828030,0,1,1
102.965846480,0,1,0
102.965847440,0,0,0
103.499460390,1,0,0
103.507581610,0,0,0
103.507863920,0,1,0
103.507865720,0,1,1
103.507883250,0,0,1
103.507885130,0,0,0
104.041500580,1,0,0
104.049628360,0,0,0
104.049909240,0,0,1
104.049909900,0,1,1
104.049928550,0,1,0
104.049929270,0,0,0
104.583633640,1,0,0
104.591734260,0,0,0
104.592012770,0,0,1
104.592016040,0,1,1
104.592032200,0,1,0
104.592035450,0,0,0
105.125638850,1,0,0
105.133777300,0,0,0
105.134056860,0,0,1
105.134057290,0,1,1
105.134076230,0,1,0
105.134076660,0,0,0
105.667590060,1,0,0
105.675712030,0,0,0
105.675993340,0,1,0
105.675995250,0,1,1
105.676012760,0,0,1
